id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,number_of_listings
6.31096E+17,"Lovely & large, 1-bedroom apartment, with parking",448612122,Martina,,University,43.66106,-79.40833,Entire home/apt,100,28,2,2023-05-14,0.08,2,73,0,,2
6.311E+17,Lovely 1 bedroom plus den condo Lansdowne & Bloor,460064823,Nicoleta,,Dufferin Grove,43.65253,-79.4441,Entire home/apt,135,7,6,2024-07-03,0.21,1,57,1,STR-2205-GMMRVG,1
6.31273E+17,Tony202欢乐之屋,328390393,Finny,,Steeles,43.81568,-79.31118,Private room,42,28,23,2024-10-01,0.78,9,220,1,STR-2011-HDCKVJ,9
6.31276E+17,BRAND NEW HIGHRISE CONDO WITH BREATH TAKING VIEWS,450941522,Nilofar,,Waterfront Communities-The Island,43.64595,-79.39259,Entire home/apt,900,28,2,2022-08-28,0.07,1,179,0,STR-2204-HKSHHK,1
6.31309E+17,Cozy Private Master Bedroom Next To Casa Loma!,450084512,Thuy,,Casa Loma,43.67754,-79.4116,Private room,70,28,0,,,2,179,0,,2
6.3133E+17,Loft in Trinity Bellwoods.,72411330,Jonathan,,Trinity-Bellwoods,43.65069,-79.41177,Entire home/apt,,28,20,2023-01-01,0.69,1,0,0,STR-2205-JGKBHM,1
6.31357E+17,Tony203梦幻之屋,328390393,Finny,,Steeles,43.8153,-79.31069,Private room,45,28,26,2024-06-30,0.88,9,279,1,STR-2011-HDCKVJ,9
6.31382E+17,Private Spacious Walkout Basement w/ Kitchen,206771087,Kai Lin,,Morningside,43.78497751,-79.21760852,Entire home/apt,129,2,37,2024-10-14,2.02,1,362,17,STR-2302-HRFXVX,1
6.31696E+17,Charming 4-Bedroom Home Near Yonge Sheppard Subway,413664378,Homeira,,Lansing-Westgate,43.75963,-79.41939,Entire home/apt,188,28,5,2024-08-31,0.18,13,365,2,,13
6.31757E+17,2 Bedrooms (2 Queens) Full Kitchen and Bath,52308107,Cristina,,Annex,43.67375,-79.40836,Entire home/apt,87,28,0,,,3,190,0,,3
6.32024E+17,284201 Bedroom with private bathroom,354779562,Meiqin,,Palmerston-Little Italy,43.65795,-79.41066,Private room,,28,6,2023-10-01,0.21,19,0,0,,19
6.32126E+17,Bright and Modern Luxury Condo/ Union Station,150481310,Sam,,Bay Street Corridor,43.64815,-79.38032,Entire home/apt,614,28,0,,,4,353,0,,4
6.32346E+17,"Lovely, cozy and spacious !!!",279415481,Janet,,Elms-Old Rexdale,43.722599,-79.546074,Private room,69,28,2,2022-06-15,0.07,1,365,0,Exempt,1
6.32882E+17,3Bed2Bath Ravine Property Gorgeous Backyard4Rent,346301570,Harry D,,Victoria Village,43.73486,-79.31621,Entire home/apt,290,1,21,2024-10-05,0.77,4,353,7,STR-2401-HDFKVW,4
6.42248E+17,Beautiful condo in DT Toronto near CN Tower,462607365,Xinyi,,Waterfront Communities-The Island,43.64311041,-79.38222245,Entire home/apt,255,3,127,2024-11-02,4.41,1,76,36,STR-2206-HRSKVL,1
6.426E+17,Bright dorm size bedroom overlooking the garden.,462014572,Sandee,,Stonegate-Queensway,43.62905,-79.4961,Private room,29,28,5,2024-11-02,0.18,3,335,1,,3
6.42615E+17,Sunny & Spacious Master By Humber - Queen Bed RM1,462681875,Sandip,,Mount Olive-Silverstone-Jamestown,43.75859,-79.59097,Private room,40,28,10,2024-10-04,0.38,4,326,4,,4
6.42778E+17,Stunning Beach 3 bedroom home with swim spa,137096691,Jody,,The Beaches,43.67119447,-79.30947126,Entire home/apt,1000,3,11,2024-07-27,0.39,1,359,3,STR-2206-HZPXVM,1
6.42786E+17,Spacious and Bright Apt by Beaches w/ Free Parking,238045429,Kim,,Birchcliffe-Cliffside,43.6891319,-79.266544,Entire home/apt,75,28,6,2024-06-29,0.23,1,305,1,,1
6.42936E+17,Spacious 3 Bedroom House Next to the Beach,93359891,Shahan,,Long Branch,43.58647011,-79.54032875,Private room,220,28,41,2023-09-03,1.43,1,358,0,STR-2206-FLHXVB,1
6.43356E+17,Stunning 2Beds 1BR by Waterfront- *Free Parking,26726413,TingTing,,Niagara,43.63592,-79.40524,Entire home/apt,295,2,48,2024-06-03,1.66,1,25,1,STR-2202-GLBRVG,1
6.43377E+17,Lovely 1-bedroom condo with pool,462877477,Asli,,South Parkdale,43.6401005,-79.4226486,Private room,,28,4,2023-03-20,0.15,1,0,0,STR-2207-GWXDVH,1
6.43459E+17,Stunning 3BR with backyard oasis in Little Italy,85316003,Velibor,,Trinity-Bellwoods,43.65372,-79.42319,Entire home/apt,,3,12,2024-08-10,0.43,1,0,5,STR-2206-HDBXVJ,1
6.43465E+17,Bright & Private One Bedroom Unit - Little Italy,14710499,Mert,,Trinity-Bellwoods,43.6549171,-79.4086405,Entire home/apt,,4,5,2024-10-17,0.18,1,0,3,STR-2403-GVXHHV,1
6.43484E+17,John and Lena's House Room H,392294428,Yu,,Newtonbrook West,43.78115,-79.43415,Private room,36,28,2,2024-07-05,0.27,9,195,2,,9
6.43508E+17,"New, Bright Spacious & Clean 1 bedroom guest suite",17039311,Darla,,Cliffcrest,43.73627004,-79.22888126,Entire home/apt,90,28,8,2024-09-28,0.29,1,267,3,,1
6.43553E+17,Yonge/Eg 3Bed/1.5Bath reno 1st+2nd+parking,22694251,Ken,,Yonge-Eglinton,43.70449,-79.40023,Entire home/apt,170,60,1,2022-08-31,0.04,1,358,0,,1
6.43615E+17,Cozy 1+1 bedroom condo Downtown Toronto,88019744,Jack Tsz Ki,,Waterfront Communities-The Island,43.63987,-79.39614,Entire home/apt,210,28,75,2024-07-08,2.65,1,34,13,STR-2206-FRFKVC,1
6.43905E+17,"New, custom-built downtown Toronto house",109681944,Craig,,Trinity-Bellwoods,43.65345,-79.41463,Entire home/apt,821,1,3,2023-07-14,0.11,1,12,0,STR-2206-GGDDVF,1
6.44071E+17,Alessia's Beach House - 1 Bedroom Basement Suite,278200857,Louis,,The Beaches,43.66934,-79.31007,Entire home/apt,258,3,30,2024-10-30,1.03,1,345,11,STR-2202-GPPRVG,1
6.44126E+17,Fully Appointed Executive Condo,462361889,Matthew,,Lambton Baby Point,43.64877,-79.48769,Entire home/apt,155,28,7,2024-08-29,0.27,2,187,3,,2
6.44232E+17,Private bath bedroom Chinatown,408591534,Di,,Kensington-Chinatown,43.65126,-79.39747,Private room,110,28,8,2024-09-01,0.29,23,327,2,,23
6.44301E+17,Rooms in Detached Coach,463118767,Sophie,,Palmerston-Little Italy,43.66011,-79.41044,Entire home/apt,,28,3,2024-06-30,0.11,7,0,1,,7
6.44306E+17,Townhome w Parking- Yorkville Area,180138311,Lianna,,Annex,43.6756,-79.40143,Entire home/apt,471,2,58,2024-09-22,2.19,1,354,23,STR-2208-HPZVHK,1
6.44424E+17,Private Room in the heart of north York,338677059,Amirhossein,,Bayview Village,43.78645,-79.37429,Private room,52,3,71,2024-10-14,2.43,2,352,17,STR-2201-GWQXVH,2
6.44507E+17,Condo with lake views next to Scotiabank Arena,463160561,Christina,,Waterfront Communities-The Island,43.64303,-79.38123,Entire home/apt,220,28,32,2023-05-22,1.11,1,364,0,STR-2205-GMLKVG,1
6.44838E+17,1 Bedroom Apartment in New Building,459531,Mei,,East End-Danforth,43.67898446,-79.29821067,Entire home/apt,95,28,3,2023-12-03,0.18,1,124,1,,1
6.44975E+17,"Yorkville Entire Studio with Balcony, 1 guest only",254381332,Kayoung,,Annex,43.66913,-79.39806,Entire home/apt,104,30,43,2024-04-08,1.56,1,36,3,STR-2206-HDRDVJ,1
6.45009E+17,Cozy Private Room in the Heart of Downtown Toronto,11617232,Sue Vern,,Waterfront Communities-The Island,43.64413,-79.38941,Private room,,1,120,2024-08-25,4.21,2,0,46,STR-2206-HFXDVJ,2
6.45016E+17,FREE Parking!  CN Tower Views!  Amazing Condo,203816657,Peter,,Waterfront Communities-The Island,43.64413,-79.38941,Entire home/apt,286,2,86,2024-10-25,2.93,1,82,30,STR-2102-FRTDVC,1
6.45018E+17,Private Affordable 1 Bed Room King Size North York,80583803,Sel,,Newtonbrook West,43.7917875,-79.424916,Private room,125,31,3,2023-09-03,0.11,3,365,0,,3
6.45122E+17,CN Tower/Lake Ontario/Scotiabank Arena why choose?,45387352,Raymond,,Waterfront Communities-The Island,43.64309,-79.3801,Entire home/apt,200,28,55,2024-09-29,1.88,1,296,11,STR-2204-GJLHHF,1
